Ticket,Symbol,Type,Open time,Open price,Size,Close time,Close price,Time in trade,Profit/Loss,Cummulative P/L,Comm/Swap,P/L in money,Cummulative money P/L,P/L in pips,Cummulative pips P/L,P/L in %,Cummulative % P/L,Comment,Sample type
2,GGBR4,Buy,02.01.2024 15:05:40,18.52,100.0,02.01.2024 15:30:00,18.54,24m 20s,2.0,2.0,0.0,2.0,2.0,200.0,200.0,0.01,0.01,,IS
2,BRAP4,Sell,02.01.2024 10:02:00,25.71,100.0,02.01.2024 15:30:00,25.52,5h 28m,19.0,21.0,0.0,19.0,21.0,1900.0,2100.0,0.07,0.08,,IS
2,WEGE3,Buy,02.01.2024 10:15:40,35.58,100.0,02.01.2024 15:30:00,35.69,5h 14m,11.0,32.0,0.0,11.0,32.0,1100.0,3200.0,0.04,0.12,,IS
2,UNIP6,Sell,02.01.2024 12:02:30,61.91,100.0,02.01.2024 15:30:00,61.4,3h 27m,51.0,83.0,0.0,51.0,83.0,5100.0,8300.0,0.19,0.31,,IS
2,PETR4,Buy,03.01.2024 12:59:40,30.29,100.0,03.01.2024 15:30:00,30.4,2h 30m,11.0,94.0,0.0,11.0,94.0,1100.0,9400.0,0.04,0.35,,IS
4,GGBR4,Buy,03.01.2024 10:01:00,18.53,100.0,03.01.2024 15:30:00,18.48,5h 29m,-5.0,89.0,0.0,-5.0,89.0,-500.0,8900.0,-0.02,0.33,,IS
4,BRAP4,Sell,03.01.2024 10:03:00,25.4,100.0,03.01.2024 15:30:00,25.54,5h 27m,-14.0,75.0,0.0,-14.0,75.0,-1400.0,7500.0,-0.05,0.28,,IS
4,WEGE3,Buy,03.01.2024 10:03:00,35.5,100.0,03.01.2024 15:30:00,35.91,5h 27m,41.0,116.0,0.0,41.0,116.0,4100.0,11600.0,0.15,0.43,,IS
4,UNIP6,Sell,03.01.2024 11:43:00,61.32,100.0,03.01.2024 15:30:00,61.59,3h 47m,-27.0,89.0,0.0,-27.0,89.0,-2700.0,8900.0,-0.1,0.33,,IS
2,CMIG4,Buy,04.01.2024 10:08:20,7.28,100.0,04.01.2024 15:30:00,7.29,5h 21m,1.0,90.0,0.0,1.0,90.0,100.0,9000.0,0.0,0.33,,IS
2,EMBR3,Sell,04.01.2024 13:00:00,21.41,100.0,04.01.2024 15:30:00,21.27,2h 30m,14.0,104.0,0.0,14.0,104.0,1400.0,10400.0,0.05,0.38,,IS
4,PETR4,Buy,04.01.2024 10:08:00,30.46,100.0,04.01.2024 15:30:00,30.2,5h 22m,-26.0,78.0,0.0,-26.0,78.0,-2600.0,7800.0,-0.1,0.29,,IS
6,BRAP4,Sell,04.01.2024 10:03:00,25.45,100.0,04.01.2024 15:30:00,25.16,5h 27m,29.0,107.0,0.0,29.0,107.0,2900.0,10700.0,0.11,0.4,,IS
6,UNIP6,Sell,05.01.2024 11:00:01,60.29,100.0,05.01.2024 15:30:00,59.67,4h 29m,62.0,169.0,0.0,62.0,169.0,6200.0,16900.0,0.23,0.62,,IS
8,UNIP6,Sell,08.01.2024 11:57:40,60.25,100.0,08.01.2024 15:30:00,60.68,3h 32m,-43.0,126.0,0.0,-43.0,126.0,-4300.0,12600.0,-0.16,0.47,,IS
4,CMIG4,Buy,08.01.2024 10:01:00,7.35,100.0,08.01.2024 15:30:01,7.46,5h 29m,11.0,137.0,0.0,11.0,137.0,1100.0,13700.0,0.04,0.51,,IS
2,BRKM5,Sell,10.01.2024 10:10:40,19.38,100.0,10.01.2024 15:30:00,19.01,5h 19m,37.0,174.0,0.0,37.0,174.0,3700.0,17400.0,0.14,0.64,,IS
8,BRAP4,Sell,10.01.2024 10:10:40,24.05,100.0,10.01.2024 15:30:00,23.99,5h 19m,6.0,180.0,0.0,6.0,180.0,600.0,18000.0,0.02,0.67,,IS
10,UNIP6,Sell,10.01.2024 14:11:40,59.48,100.0,10.01.2024 15:30:30,59.35,1h 18m,13.0,193.0,0.0,13.0,193.0,1300.0,19300.0,0.05,0.71,,IS
2,VALE3,Sell,11.01.2024 10:03:00,64.25,100.0,11.01.2024 15:30:00,64.25,5h 27m,0.0,193.0,0.0,0.0,193.0,0.0,19300.0,0.0,0.71,,IS
4,BRKM5,Sell,11.01.2024 10:03:00,18.99,100.0,11.01.2024 15:30:00,18.76,5h 27m,23.0,216.0,0.0,23.0,216.0,2300.0,21600.0,0.08,0.8,,IS
10,BRAP4,Sell,11.01.2024 10:03:00,24.06,100.0,11.01.2024 15:30:00,24.15,5h 27m,-9.0,207.0,0.0,-9.0,207.0,-900.0,20700.0,-0.03,0.76,,IS
12,UNIP6,Sell,11.01.2024 15:01:01,59.55,100.0,11.01.2024 15:31:00,59.49,29m 59s,6.0,213.0,0.0,6.0,213.0,600.0,21300.0,0.02,0.79,,IS
6,BRKM5,Sell,12.01.2024 10:03:00,18.62,100.0,12.01.2024 10:20:40,19.12,17m 40s,-50.0,163.0,0.0,-50.0,163.0,-5000.0,16300.0,-0.18,0.6,sl 19.12,IS
2,WEGE3,Sell,12.01.2024 10:17:40,33.82,100.0,12.01.2024 10:39:20,34.02,21m 40s,-20.0,143.0,0.0,-20.0,143.0,-2000.0,14300.0,-0.07,0.53,sl 34.02,IS
8,BRKM5,Sell,12.01.2024 10:20:40,19.16,100.0,12.01.2024 15:30:00,18.98,5h 9m,18.0,161.0,0.0,18.0,161.0,1800.0,16100.0,0.07,0.6,,IS
12,BRAP4,Sell,12.01.2024 10:03:00,24.05,100.0,12.01.2024 15:30:00,23.91,5h 27m,14.0,175.0,0.0,14.0,175.0,1400.0,17500.0,0.05,0.65,,IS
6,CMIG4,Buy,15.01.2024 10:07:40,7.65,100.0,15.01.2024 15:30:00,7.66,5h 22m,1.0,176.0,0.0,1.0,176.0,100.0,17600.0,0.0,0.65,,IS
14,BRAP4,Sell,15.01.2024 10:03:00,23.8,100.0,15.01.2024 15:30:00,23.72,5h 27m,8.0,184.0,0.0,8.0,184.0,800.0,18400.0,0.03,0.68,,IS
10,BRKM5,Sell,15.01.2024 10:01:00,18.86,100.0,15.01.2024 15:30:30,18.89,5h 29m,-3.0,181.0,0.0,-3.0,181.0,-300.0,18100.0,-0.01,0.67,,IS
8,CMIG4,Buy,16.01.2024 10:03:00,7.7,100.0,16.01.2024 15:30:00,7.57,5h 27m,-13.0,168.0,0.0,-13.0,168.0,-1300.0,16800.0,-0.05,0.62,,IS
12,BRKM5,Sell,16.01.2024 10:09:00,18.82,100.0,16.01.2024 15:30:00,18.53,5h 21m,29.0,197.0,0.0,29.0,197.0,2900.0,19700.0,0.11,0.73,,IS
16,BRAP4,Sell,16.01.2024 10:03:00,23.86,100.0,16.01.2024 15:30:00,23.51,5h 27m,35.0,232.0,0.0,35.0,232.0,3500.0,23200.0,0.13,0.86,,IS
14,BRKM5,Sell,17.01.2024 10:02:00,18.3,100.0,17.01.2024 15:30:00,18.13,5h 28m,17.0,249.0,0.0,17.0,249.0,1700.0,24900.0,0.06,0.92,,IS
18,BRAP4,Sell,17.01.2024 10:03:00,23.45,100.0,17.01.2024 15:30:00,23.06,5h 27m,39.0,288.0,0.0,39.0,288.0,3900.0,28800.0,0.14,1.06,,IS
14,UNIP6,Sell,18.01.2024 14:01:00,58.2,100.0,18.01.2024 15:30:00,58.52,1h 29m,-32.0,256.0,0.0,-32.0,256.0,-3200.0,25600.0,-0.12,0.95,,IS
16,BRKM5,Sell,18.01.2024 10:03:00,17.96,100.0,18.01.2024 15:30:00,17.75,5h 27m,21.0,277.0,0.0,21.0,277.0,2100.0,27700.0,0.08,1.02,,IS
20,BRAP4,Sell,18.01.2024 10:03:00,23.3,100.0,18.01.2024 15:30:00,23.14,5h 27m,16.0,293.0,0.0,16.0,293.0,1600.0,29300.0,0.06,1.08,,IS
2,CSAN3,Sell,18.01.2024 12:58:40,17.23,100.0,18.01.2024 15:30:01,17.25,2h 31m,-2.0,291.0,0.0,-2.0,291.0,-200.0,29100.0,-0.01,1.07,,IS
4,CSAN3,Sell,19.01.2024 10:03:00,17.21,100.0,19.01.2024 15:30:00,17.42,5h 27m,-21.0,270.0,0.0,-21.0,270.0,-2100.0,27000.0,-0.08,1.0,,IS
18,BRKM5,Sell,19.01.2024 10:01:00,17.78,100.0,19.01.2024 15:30:00,17.9,5h 29m,-12.0,258.0,0.0,-12.0,258.0,-1200.0,25800.0,-0.04,0.95,,IS
22,BRAP4,Sell,19.01.2024 10:03:00,23.23,100.0,19.01.2024 15:30:00,22.81,5h 27m,42.0,300.0,0.0,42.0,300.0,4200.0,30000.0,0.15,1.11,,IS
16,UNIP6,Sell,22.01.2024 14:17:40,58.09,100.0,22.01.2024 15:30:00,57.68,1h 12m,41.0,341.0,0.0,41.0,341.0,4100.0,34100.0,0.15,1.26,,IS
